Category,Length,Views,Rate
Entertainment,148,2700217,4.32
Music,188,277533,4.49
Sports,53,211176,4.58
Music,266,598593,4.55
Film & Animation,37,331916,4.87
Sports,128,26343,4.59
Music,298,196472,4.67
 UNA ,229,126223,3.9
Entertainment,279,419664,4.75
News & Politics,88,28634,4.86
Autos & Vehicles,310,25124,4.31
Science & Technology,15,73294,2.4
People & Blogs,51,6268,4.9
People & Blogs,123,426535,4.64
Entertainment,128,1098429,4.88
Music,127,5850,4.69
Education,58,137,0
Entertainment,17,120,0
People & Blogs,79,110,0
Travel & Events,16,77,0
Sports,56,97,0
Pets & Animals,233,62,0
Music,261,63,0
Autos & Vehicles,30,70,0
Entertainment,146,0,0
Comedy,31,16,0
Comedy,26,106,1
Travel & Events,25,3,0
Music,31,2,0
Music,233,3,0
Music,207,3,0
Entertainment,231,0,0
Entertainment,30,0,0
Music,30,0,0
Entertainment,42,0,0
Comedy,7,0,0
Comedy,20,0,0
Education,112,0,0
People & Blogs,63,0,0
Sports,60,0,0
Comedy,53,0,0
People & Blogs,377,0,0
People & Blogs,162,0,0
Entertainment,9,0,0
Entertainment,514,5,5
People & Blogs,331,0,0
People & Blogs,333,0,0
Film & Animation,324,15,5
Comedy,19,4,5
News & Politics,68,0,0
Entertainment,77,3,0
Entertainment,166,1,0
Film & Animation,41,0,0
Film & Animation,239,3,0
Comedy,103,1,0
Music,200,0,0
News & Politics,61,0,0
Entertainment,197,4,0
Sports,187,0,0
Pets & Animals,141,4,0
Comedy,151,0,0
Science & Technology,323,0,0
Comedy,62,3,0
Sports,45,0,0
Autos & Vehicles,49,0,0
Film & Animation,171,0,0
People & Blogs,197,0,0
Music,128,0,0
Science & Technology,240,0,0
Howto & Style,73,1,0
Howto & Style,40,7,0
Entertainment,216,0,0
People & Blogs,15,1,0
Travel & Events,187,0,0
Film & Animation,12,2,0
Education,43,1,0
News & Politics,65,74,5
Entertainment,181,0,0
People & Blogs,46,0,0
Travel & Events,15,0,0
Sports,60,7,0
Entertainment,39,0,0
Entertainment,221,0,0
Entertainment,513,0,0
Comedy,203,0,0
People & Blogs,79,0,0
Education,14,2,0
Comedy,4,0,0
Pets & Animals,78,0,0
Music,223,0,0
Education,526,0,0
Entertainment,220,12,4
Music,263,0,0
Entertainment,115,92,1
Sports,578,1,0
Music,37,16,3
Music,199,2,0
Entertainment,29,0,0
Music,199,0,0
Entertainment,361,0,0
Entertainment,166,0,0
Music,238,0,0
Film & Animation,57,0,0
Entertainment,600,0,0
Comedy,29,0,0
Film & Animation,616,54,0
Education,5,0,0
Education,36,0,0
People & Blogs,71,0,0
Music,210,0,0
Film & Animation,63,0,0
Comedy,252,0,0
Pets & Animals,24,0,0
Music,34,0,0
Entertainment,78,5,0
Autos & Vehicles,4,0,0
Entertainment,284,141189,4.3
Entertainment,1206,123367,4.91
Entertainment,275,140875,4.55
Entertainment,62,81526,4.84
Film & Animation,389,108391,4.84
Travel & Events,36,75364,3.5
News & Politics,62,118564,2.56
Entertainment,281,8187,4.89
Comedy,112,13374,4.89
Entertainment,84,43980,4.85
Entertainment,79,76898,4.72
Comedy,82,25203,4.27
Comedy,147,22925,4.46
Science & Technology,245,18576,4.89
Pets & Animals,85,9429,4.92
Entertainment,201,98609,4.54
Pets & Animals,509,110516,4.89
Entertainment,79,15162,4.9
Nonprofits & Activism,443,55780,2.38
Entertainment,510,69426,4.8
Music,392,60193,4.42
People & Blogs,112,36137,4.3
Music,257,5892,4.78
People & Blogs,106,4663,3.67
Music,157,161132,4.5
Music,225,101771,4.15
Comedy,199,177154,4.18
Comedy,185,121020,3.4
People & Blogs,276,57730,2.51
Comedy,279,1760,4.69
Music,161,259,3
Howto & Style,203,296778,4.04
Film & Animation,112,272599,4.59
People & Blogs,36,2032,4.72
Comedy,18,579626,2.17
Entertainment,20,287405,1.42
Education,239,292581,2.73
Entertainment,0,211664,2.1
Entertainment,91,143107,2.06
Sports,446,136893,4.41
Howto & Style,77,111780,3.67
Music,291,111668,4.46
People & Blogs,105,103101,3.31
Sports,132,89249,4.73
Comedy,656,101155,4.67
Comedy,483,80865,4.94
Entertainment,105,935311,3.37
Entertainment,119,767574,4.41
Comedy,132,566330,4.53
People & Blogs,92,556254,2.39
Comedy,238,73881,4.76
Entertainment,24,14904,4.86
Entertainment,38,757,4.14
Entertainment,43,503,2.31
Entertainment,58,631,4
Entertainment,66,653,4.73
Music,244,41545,4.8
Comedy,290,27155,4.68
Comedy,431,75809,4.79
Comedy,237,28735,4.45
Entertainment,575,27106,4.91
Comedy,78,13110,4.86
People & Blogs,556,62814,4.86
Music,220,151021,4.9
 UNA ,247,129550,4.91
People & Blogs,227,3698,4.79
News & Politics,130,8428,4.94
Science & Technology,124,2087,4.95
People & Blogs,246,7470,4.91
Music,178,311293,4.77
Entertainment,324,180037,4.62
 UNA ,201,357420,4.67
Science & Technology,600,20440,4.71
Entertainment,126,231907,4.36
Music,405,8346,4.81
Education,322,35312,4.62
Education,161,17646,4.21
Film & Animation,598,131350,5
Howto & Style,273,11189,5
Comedy,403,21277,4.86
Entertainment,118,55993,4.5
Howto & Style,44,824771,4.27
Comedy,32,223,0
Sports,43,220,0
Music,165,201,5
News & Politics,591,205,0
Entertainment,72,204,0
Comedy,101,220,1
Comedy,88,210,1
Comedy,42,241,0
Sports,15,248,0
Film & Animation,7,201,1
Education,11,50,0
Entertainment,32,52,0
Comedy,26,29,0
Music,272,92,3
Music,168,26,0
Music,76,14,0
Film & Animation,231,9,0
Entertainment,349,1,0
Entertainment,12,0,0
Comedy,56,1,0
People & Blogs,197,0,0
Travel & Events,275,0,0
Music,216,2,0
Entertainment,186,19,0
Entertainment,200,3,0
Comedy,10,0,0
Comedy,57,0,0
Music,103,0,0
Comedy,39,9,0
Comedy,7,11,0
Sports,46,0,0
Education,135,1,0
Entertainment,98,7,0
Entertainment,20,15,0
Entertainment,294,4,0
Entertainment,220,0,0
Entertainment,81,237,5
Comedy,83,0,0
People & Blogs,294,0,0
Travel & Events,17,0,0
Entertainment,96,0,0
Comedy,242,6,0
Comedy,6,10,0
Music,25,20,0
Film & Animation,194,1,0
Education,238,3,0
Education,166,11,0
Entertainment,10,1,0
Comedy,14,3,0
Entertainment,151,9,0
People & Blogs,12,0,0
Music,265,9,0
Entertainment,109,0,0
Entertainment,377,0,0
Music,145,0,0
Comedy,24,0,0
People & Blogs,28,7,0
People & Blogs,15,0,0
Music,199,0,0
Music,106,6,0
Music,40,9,0
Autos & Vehicles,84,0,0
People & Blogs,33,4,0
Film & Animation,43,2,0
Music,189,0,0
Autos & Vehicles,96,18,0
Autos & Vehicles,24,0,0
Film & Animation,100,5,0
Music,234,6,0
Film & Animation,235,4,4
Sports,38,0,0
Sports,5,0,0
Science & Technology,13,0,0
Entertainment,109,4,0
Entertainment,53,9,0
Entertainment,71,3,0
Comedy,20,15,0
Music,35,1,0
Music,114,7,0
Music,73,11,0
Education,201,0,0
Entertainment,17,209,1
People & Blogs,68,18,0
Pets & Animals,29,0,0
Film & Animation,94,0,0
Science & Technology,270,2,0
Education,350,0,0
Entertainment,228,24,0
Entertainment,244,0,0
Comedy,152,1,0
Comedy,140,0,0
People & Blogs,60,30,0
Sports,120,0,0
Music,51,0,0
Film & Animation,71,0,0
Sports,48,3,0
Music,165,9,0
Nonprofits & Activism,99,0,0
Entertainment,213,0,0
Travel & Events,97,0,0
Entertainment,86,46753,4.2
News & Politics,92,372407,4.64
Entertainment,390,111058,3.81
Comedy,245,48928,4.17
People & Blogs,600,76898,4.7
Entertainment,139,125783,4.71
Entertainment,168,144258,4.26
News & Politics,409,16472,4.87
Entertainment,72,819,4.27
Science & Technology,81,214,4.67
Comedy,30,38808,4.63
Science & Technology,350,277772,4.2
People & Blogs,301,72915,2.82
People & Blogs,30,18565,4.44
Science & Technology,71,1402,3.58
Entertainment,368,10101,4.65
People & Blogs,157,219,5
Music,211,9810,4.94
Science & Technology,213,1393,5
Entertainment,151,70540,4.16
News & Politics,89,355806,4.68
Entertainment,131,203,5
Howto & Style,56,1327,5
Film & Animation,181,208,5
People & Blogs,316,1980,4.82
People & Blogs,27,1029,4.45
Comedy,127,21467,4.12
Music,216,360,4.2
Comedy,189,98704,3.28
Education,540,68,0
Sports,55,491955,4.62
Music,161,218,4.81
Music,51,159895,3.24
Sports,176,242280,4.45
Entertainment,201,211298,4.39
Comedy,272,125316,3.72
People & Blogs,1282,79662,4.5
Entertainment,80,72640,1.97
Sports,45,69271,4.9
Sports,117,65276,4.76
Sports,124,79273,4.53
Sports,38,60957,4.64
Film & Animation,502,59741,4.84
Film & Animation,205,58654,4.41
Entertainment,427,55719,4.8
Comedy,217,35706,4.88
Music,198,970,3.99
Music,379,1783,4.64
Music,211,1129,4.85
Music,223,1514,4.98
Music,250,2781,4.32
Music,229,1042,3.99
Music,309,1159,4.31
Entertainment,58,1054,4.36
Entertainment,66,843,4.2
Entertainment,43,878,2.17
Entertainment,600,7628,4.97
Entertainment,165,15065,4.57
Entertainment,38,379,4
Entertainment,43,376,4.97
 UNA ,212,141295,4.89
 UNA ,221,390095,4.7
 UNA ,210,154645,4.85
Film & Animation,939,63885,4.89
Entertainment,72,34769,4.87
Entertainment,309,219,4.84
Music,217,2911,4.86
Entertainment,97,13269,4.87
Film & Animation,147,130064,3.56
Comedy,54,900113,3.82
Comedy,152,157598,3.48
Film & Animation,455,1003068,4.77
Film & Animation,30,166096,4.48
 UNA ,225,191975,4.1
Entertainment,115,193720,4.46
Music,120,260373,4.85
Film & Animation,32,159702,2.01
Sports,600,13344,4.33
Autos & Vehicles,51,31118,4.11
Music,31,194881,4.55
People & Blogs,23,230,1
People & Blogs,587,222,0
Music,53,206,0
Entertainment,138,258,0
Entertainment,9,203,0
Pets & Animals,62,244,0
People & Blogs,252,233,1
Travel & Events,265,207,0
Music,119,217,4
Science & Technology,657,206,4.88
Autos & Vehicles,184,97,0
Travel & Events,73,49,0
Sports,256,42,0
Sports,95,75,0
Entertainment,61,64,0
Entertainment,150,0,0
Pets & Animals,60,0,0
Entertainment,71,253,3
Entertainment,89,0,0
Entertainment,61,6,0
Entertainment,311,0,0
People & Blogs,23,0,0
People & Blogs,32,0,0
Music,180,0,0
Entertainment,57,0,0
Entertainment,38,2,0
Sports,166,0,0
Pets & Animals,281,0,0
Film & Animation,116,0,0
People & Blogs,112,0,0
People & Blogs,30,0,0
Pets & Animals,175,2,0
Music,37,138,0
Autos & Vehicles,57,0,0
Entertainment,31,0,0
Film & Animation,157,0,0
Comedy,16,0,0
People & Blogs,30,0,0
Nonprofits & Activism,176,0,0
Entertainment,188,21,0
Entertainment,166,6,0
People & Blogs,499,0,0
Music,189,0,0
Music,174,0,0
Film & Animation,31,4,0
Education,524,0,0
Entertainment,169,4,0
News & Politics,70,2,0
People & Blogs,601,0,0
Film & Animation,102,0,0
Entertainment,49,0,0
Comedy,181,0,0
People & Blogs,16,0,0
Entertainment,77,2,0
Entertainment,62,0,0
Entertainment,28,0,0
Entertainment,103,35,0
Comedy,9,0,0
Travel & Events,92,0,0
Music,225,7,0
Comedy,204,1,0
Comedy,148,0,0
Travel & Events,194,0,0
Music,273,0,0
Music,1,0,0
Film & Animation,156,3,5
Entertainment,128,2,5
People & Blogs,127,0,0
Pets & Animals,23,4,0
Entertainment,31,0,0
Comedy,305,0,0
People & Blogs,31,0,0
Music,236,0,0
Music,78,0,0
Film & Animation,133,0,0
Education,178,0,0
Entertainment,28,0,0
People & Blogs,23,59,0
Sports,44,19,0
Comedy,37,0,0
Comedy,54,0,0
People & Blogs,23,5,0
People & Blogs,56,0,0
Music,198,0,0
Music,238,0,0
Entertainment,70,0,0
Comedy,110,0,0
Comedy,13,0,0
Comedy,24,0,0
Travel & Events,57,0,0
Music,123,0,0
News & Politics,209,0,0
Entertainment,230,0,0
Entertainment,40,0,0
Comedy,318,0,0
Sports,209,2,0
Entertainment,216,1,0
Entertainment,9,10,0
People & Blogs,161,2,0
People & Blogs,238,0,0
Comedy,281,768422,4.64
Entertainment,342,123734,4.12
People & Blogs,98,71720,4.14
People & Blogs,64,47585,2.22
People & Blogs,241,20710,4.9
Entertainment,421,24132,4.39
Film & Animation,167,101130,4.6
Comedy,389,10964,4.69
Entertainment,354,1226,3.83
Film & Animation,167,89972,4.33
Entertainment,307,70408,4.74
Comedy,205,11696,4.54
Entertainment,317,433661,4.76
Entertainment,167,57129,4.66
Sports,132,730528,4.74
Comedy,302,40498,4.13
Science & Technology,62,592771,4.46
Comedy,196,4721,4.32
News & Politics,286,246117,2.88
Entertainment,244,130783,4.64
Music,116,61331,3.76
Music,109,1481,5
Entertainment,91,499680,4.76
Nonprofits & Activism,236,57006,4.97
Sports,188,428866,4.61
Entertainment,1327,3832,1.63
Entertainment,648,355740,4.67
Science & Technology,134,360355,4.6
Sports,157,184,5
People & Blogs,616,124021,4.52
People & Blogs,273,179,1
Music,204,243979,4.77
Film & Animation,8,208,5
Comedy,338,1897,4.86
Nonprofits & Activism,46,403246,2.03
Music,222,385867,4.65
Music,200,222589,4.26
Pets & Animals,91,171995,4.84
Entertainment,61,162242,4.87
People & Blogs,574,110253,4.4
Entertainment,131,102831,2.91
Film & Animation,68,97511,4.82
Comedy,87,92605,4.79
Sports,135,77263,4.59
Sports,113,75389,2.35
Sports,60,754136,4.86
Entertainment,253,586254,4.14
People & Blogs,106,535407,3.52
Entertainment,601,514468,4.73
Comedy,230,16528,4.83
Comedy,115,15898,4.91
Music,225,28700,4.84
Entertainment,38,1000,3.77
Sports,600,72500,4.75
Film & Animation,167,50824,4.68
Comedy,62,5472,4.9
Entertainment,245,214,4.86
Music,320,4403,4.89
Comedy,222,287456,4.78
Entertainment,189,6449,4.79
News & Politics,551,10177,4.93
News & Politics,95,58650,4.83
Entertainment,89,12270,4.88
Entertainment,185,9088,4.91
People & Blogs,198,12625,4.88
News & Politics,600,3650,4.96
Film & Animation,308,143652,4.57
Film & Animation,154,101766,4.76
Entertainment,230,67766,4.58
Film & Animation,145,62231,4.65
Entertainment,303,79125,4.52
Entertainment,166,48046,4.64
Film & Animation,445,89090,4.76
Music,42,19895,4.4
Music,204,40381,3.7
Entertainment,591,27058,4.84
Entertainment,120,26855,4.64
Science & Technology,93,78233,4.6
Entertainment,88,67057,4.75
Entertainment,614,103385,4.7
Music,163,0,0
Music,28,0,0
People & Blogs,32,0,0
Comedy,63,0,0
Entertainment,77,0,0
Pets & Animals,54,0,0
Entertainment,46,0,0
People & Blogs,43,0,0
Music,291,0,0
Comedy,35,0,0
Sports,31,0,0
Autos & Vehicles,23,0,0
Comedy,52,0,0
Comedy,89,0,0
People & Blogs,42,0,0
Sports,43,0,0
News & Politics,568,0,0
Entertainment,58,0,0
Travel & Events,54,0,0
Education,180,0,0
Music,185,0,0
Education,102,0,0
Music,293,0,0
Education,72,0,0
Sports,107,0,0
Sports,25,0,0
Nonprofits & Activism,37,0,0
Entertainment,60,0,0
Film & Animation,55,0,0
Entertainment,67,0,0
Comedy,51,0,0
People & Blogs,47,0,0
Sports,104,0,0
Sports,91,0,0
Music,32,0,0
Howto & Style,147,0,0
Comedy,17,0,0
Music,66,0,0
Entertainment,188,0,0
News & Politics,203,0,0
Comedy,185,0,0
Entertainment,184,0,0
Music,204,0,0
Entertainment,133,0,0
Comedy,30,0,0
Education,249,0,0
Entertainment,257,0,0
Comedy,1,0,0
Music,64,0,0
People & Blogs,108,0,0
Entertainment,60,0,0
Comedy,23,0,0
Music,235,0,0
People & Blogs,114,0,0
Comedy,599,0,0
Autos & Vehicles,18,0,0
People & Blogs,56,0,0
Comedy,40,0,0
Entertainment,55,0,0
Music,180,0,0
Entertainment,136,0,0
Comedy,150,0,0
Comedy,170,0,0
People & Blogs,211,0,0
Film & Animation,59,0,0
People & Blogs,17,0,0
Comedy,72,0,0
Film & Animation,94,0,0
Film & Animation,29,0,0
Education,209,0,0
Music,46,0,0
Autos & Vehicles,23,0,0
Film & Animation,55,0,0
Music,127,0,0
Entertainment,379,0,0
Entertainment,31,0,0
Comedy,75,0,0
Film & Animation,121,0,0
Science & Technology,57,0,0
Entertainment,350,0,0
Film & Animation,30,0,0
Entertainment,30,0,0
Entertainment,77,0,0
Entertainment,174,0,0
Entertainment,108,0,0
Entertainment,247,0,0
Entertainment,60,0,0
Entertainment,76,0,0
Comedy,168,0,0
Comedy,97,0,0
Entertainment,99,0,0
Music,220,0,0
Entertainment,192,0,0
Education,66,0,0
Entertainment,61,0,0
Pets & Animals,64,0,0
Entertainment,37,0,0
Entertainment,42,0,0
Comedy,20,0,0
Sports,114,0,0
Science & Technology,137,84865,3.43
People & Blogs,144,61799,3.22
People & Blogs,143,53057,3.67
Entertainment,508,49834,4.95
Music,60,225539,4.41
Entertainment,233,20150,4.59
Entertainment,224,62556,4.48
Entertainment,393,99991,4.81
Film & Animation,90,245959,4.64
Entertainment,141,24363,4.79
Nonprofits & Activism,608,1950,2.6
Music,220,97426,3.35
Sports,128,92672,4.67
News & Politics,443,82922,3.84
News & Politics,31,122788,2.32
Sports,100,37006,4.32
Music,311,110949,4.74
Entertainment,361,2320,4.88
Entertainment,231,15410,4.58
People & Blogs,378,139046,4.62
Comedy,596,353,4.9
People & Blogs,83,4215,2.79
Music,252,135042,4.45
Sports,83,663119,4.58
Music,106,3211,4.27
Comedy,301,2057,4.58
Sports,243,513359,3.14
Comedy,155,639,5
Film & Animation,173,546,3.67
People & Blogs,251,770805,4.56
Music,768,324336,3.26
Entertainment,590,298958,4.76
Entertainment,203,222096,4.85
News & Politics,34,215694,3.45
Entertainment,552,172090,4.9
Entertainment,650,180140,4.89
People & Blogs,266,174768,4.91
Entertainment,617,170041,4.83
Entertainment,584,167640,4.91
Entertainment,654,126779,4.9
Entertainment,637,145619,4.93
Entertainment,457,137851,4.92
Entertainment,638,115656,4.93
Music,197,125503,4.73
Film & Animation,654,125122,4.8
Science & Technology,62,800954,1.91
People & Blogs,106,810155,4.32
Comedy,392,715892,3.92
Music,285,84181,4.36
Comedy,230,4762,4.97
People & Blogs,38,17955,4.79
Comedy,148,13448,4.88
Sports,34,67154,4.9
Music,223,51976,4.81
Music,265,74858,4.94
Entertainment,281,26663,4.93
Comedy,149,68130,4.95
Comedy,6,62385,4.38
Entertainment,269,36681,4.91
Entertainment,86,26067,4.93
Music,233,114446,3.85
Howto & Style,270,103349,4.21
Music,189,33961,4.51
Film & Animation,90,54589,4.59
Entertainment,193,9334,4.88
People & Blogs,139,12028,4.86
Entertainment,207,16594,4.87
Entertainment,656,15028,4.79
Entertainment,244,7513,4.93
Comedy,96,8482,4.87
People & Blogs,154,8773,4.84
Entertainment,153,29628,4.7
Comedy,177,84225,4.91
Music,211,95271,3.82
Music,86,39870,3.49
Music,201,52881,4.84
Music,212,60119,4.27
Music,277,54648,4.45
Comedy,94,178510,4.33
Music,568,45383,4.8
Music,291,22282,4.69
Music,99,29724,3.56
Science & Technology,227,240575,2.77
Entertainment,380,80872,4.81
Education,56,10957,4.5
News & Politics,338,239551,3.48
People & Blogs,458,7460,4.14
Music,291,36834,2.36
Entertainment,332,48833,4.51
People & Blogs,348,201738,4.33
Sports,41,29532,4.88
Entertainment,107,367403,4.24
Music,32,27600,4.88
Film & Animation,502,165449,5
Sports,135,32260,4.59
Pets & Animals,98,209,5
Film & Animation,209,217,0
Entertainment,45,199,0
Comedy,138,216,0
People & Blogs,266,210,0
People & Blogs,59,176,0
Music,155,180,0
News & Politics,115,182,0
Entertainment,109,189,0
Comedy,166,5,0
Comedy,29,15,0
Comedy,133,12,0
Autos & Vehicles,41,2,0
Film & Animation,258,0,0
Entertainment,13,8,0
Entertainment,182,0,0
Entertainment,105,0,0
Entertainment,248,6,0
Sports,6,0,0
Pets & Animals,93,1,0
Autos & Vehicles,128,0,0
Autos & Vehicles,242,0,0
Entertainment,36,21,0
Sports,505,3,0
Sports,14,0,0
Sports,10,0,0
Pets & Animals,65,0,0
Music,228,0,0
Science & Technology,102,0,0
Entertainment,133,10,0
Music,153,5,0
Music,220,0,0
Music,181,0,0
Film & Animation,148,22,0
Entertainment,301,34,0
Entertainment,52,5,0
Entertainment,23,0,0
Comedy,89,40,5
Pets & Animals,15,11,0
Education,217,0,0
Comedy,137,0,0
Comedy,524,10,0
Music,242,23,5
People & Blogs,38,0,0
People & Blogs,81,0,0
People & Blogs,36,12,0
Music,251,14,0
Autos & Vehicles,95,14,0
Entertainment,317,3,0
Entertainment,293,3,0
People & Blogs,63,0,0
Sports,19,20,0
Autos & Vehicles,9,7,0
Film & Animation,315,1,0
Entertainment,118,5,0
Entertainment,215,0,0
People & Blogs,39,0,0
Comedy,160,0,0
Comedy,8,0,0
People & Blogs,22,7,0
People & Blogs,504,2,0
Music,287,2,0
Education,511,0,0
People & Blogs,390,0,0
Entertainment,190,0,0
Entertainment,169,47,0
People & Blogs,51,27,0
Film & Animation,157,2,0
Entertainment,175,0,0
People & Blogs,488,0,0
Film & Animation,30,2,0
Entertainment,77,0,0
Entertainment,41,0,0
People & Blogs,24,1,0
Music,10,1,0
Entertainment,47,0,0
Film & Animation,311,0,0
News & Politics,245,0,0
Comedy,16,0,0
Comedy,282,2,0
Sports,117,6,1
Music,416,0,0
Science & Technology,419,0,0
People & Blogs,37,5,0
Autos & Vehicles,22,0,0
Film & Animation,593,0,0
Entertainment,147,0,0
Entertainment,223,0,0
Music,201,10,0
Music,98,4,0
People & Blogs,283,0,0
Entertainment,164,12,5
Entertainment,284,0,0
Film & Animation,29,6,1
Entertainment,1,0,0
Entertainment,278,2,0
Entertainment,171,99585,4.66
Comedy,257,372510,4.89
Entertainment,257,112825,4.22
Entertainment,14,217686,3.73
People & Blogs,149,13923,2.41
People & Blogs,135,53731,4.78
News & Politics,494,38500,4.55
Travel & Events,249,97581,4.81
People & Blogs,95,1683,2.64
Comedy,506,18140,4.16
People & Blogs,376,26181,4.7
People & Blogs,62,11021,4.87
People & Blogs,98,1324,2.27
Music,247,136266,4.52
Sports,274,358,5
Comedy,301,10395,4.73
Entertainment,127,18877,4.48
People & Blogs,112,188746,3.42
Entertainment,40,39860,4.69
Comedy,269,47016,3.86
People & Blogs,123,329125,4.19
Comedy,385,670034,4.66
Sports,127,736968,4.7
People & Blogs,341,1055,4.99
People & Blogs,233,5274,4.36
Sports,183,409,4.86
Sports,2856,317674,4.18
Sports,40,1735787,4.82
Comedy,254,257,4.17
Comedy,6,115360,4.59
Film & Animation,30,116,5
Entertainment,48,217630,4.43
Music,215,202123,3.81
People & Blogs,31,199506,1.7
Sports,60,143109,4.8
Music,345,134440,3.43
Film & Animation,600,97682,4.81
Entertainment,223,90135,4.62
Entertainment,57,87459,1.85
Music,311,83149,3.94
Film & Animation,155,82413,4.38
Sports,128,75460,4.7
Music,60,65965,4.93
Education,54,65310,1.46
Sports,87,810335,4.11
Sports,36,560184,3.62
Entertainment,172,207,4.98
Music,264,45646,4.78
Entertainment,574,21707,4.91
Comedy,47,2050,4.94
Pets & Animals,180,6481,4.89
Music,69,24406,4.84
Comedy,92,7847,4.79
Comedy,149,13630,4.92
Music,359,360,5
Music,379,371,4.63
Entertainment,86,8361,4.78
Music,243,356,4
Entertainment,100,235740,4.75
News & Politics,552,59028,4.75
Comedy,137,14648,4.79
Pets & Animals,624,10940,4.83
Entertainment,981,8448,4.84
Comedy,144,10016,4.71
People & Blogs,157,6784,4.74
Entertainment,264,12978,4.78
News & Politics,2303,5342,4.72
Film & Animation,56,5382,4.9
News & Politics,320,151820,4.72
Film & Animation,81,8054,4.45
Travel & Events,526,104747,4.11
People & Blogs,29,203,0
Pets & Animals,8,220,0
Music,140,190,0
People & Blogs,371,202,0
Travel & Events,195,190,0
Sports,30,221,5
Music,52,168,0
Education,19,193,0
People & Blogs,301,200,0
People & Blogs,108,111,0
Film & Animation,154,45,0
