Video ID,Uploader,Age,Category,Length,Views,Rate,Ratings,Comments
MymMhj3Vgww,nigahiga,1131,Comedy,164,626755,4.7,16454,13003
a_HddDpgAbo,smosh,1130,Comedy,85,1011535,4.43,14744,12001
Rb_HXgPlgEs,mileymandy,1132,Comedy,509,473397,4.28,4777,10699
o6vi4nVjY5E,SquiggMonster,1132,People & Blogs,77,109499,3.81,113,9062
LoD2iKnoNe8,iamBoxMan,1130,Entertainment,55,76701,4.14,80,8139
kmvcP71A-Wk,machinima,1130,Entertainment,649,425085,4.82,6123,7262
QOdlnzkeoyQ,TRINITYCHGO,1129,People & Blogs,597,390948,4.4,3173,7160
cOwNhfRJQfQ,ConanOBrianFAN,1132,Howto & Style,429,91771,3.1,201,6280
pGmO-jcKENQ,kevjumba,1131,People & Blogs,308,1005312,4.7,9668,6114
eDhWTzmEuVI,CharlesMateer,1132,News & Politics,72,35037,3,21,5938
I1t2R_m-QbA,MRirian,1134,People & Blogs,34,499766,2.7,4485,6216
kyK_ZQ_egRM,DownIoadMaster,1129,Science & Technology,180,79105,2.81,137,5504
fRU2Jm_0nt4,smpfilms,1132,Comedy,175,881218,4.54,6412,5259
mGZG91EU4Y0,RyanTwin20,1130,Comedy,86,517251,2.09,2877,4036
iOsGo_HWP-c,heathj82,1130,News & Politics,98,417912,4.59,1963,4119
8oNkSQbUSsY,sxephil,1130,Entertainment,110,223955,4.51,3020,3528
T2rmfLWIeVo,Rickdguez57,1133,Entertainment,100,13210,3.27,55,50
tSw6MHvZoa0,cubskickass34,774,Sports,117,43029,4.37,181,353
AY5tM_U5VVw,AtheneWins,1134,People & Blogs,553,576368,4.23,2312,1884
ur0XMn4OQD4,thelonefilmmaker,1088,Comedy,85,131968,4.42,459,578
#NAME?,Nfsvtm,1134,Autos & Vehicles,129,1501,2.33,6,7
2oMUnoqYGsg,boydism08,1098,Music,181,23116,4.89,19,46
DV9DxJ2lhnw,DavisScofield,1134,Entertainment,157,945,5,31,35
rUSTXUis_ys,oskay,1037,Howto & Style,183,791436,4.78,3119,2501
QsLgEdowIg0,deckthree,1132,Music,174,351495,4.46,2398,1876
GzxP4dk5F2E,rhyshuw1,1131,Film & Animation,246,258,3.25,4,2
ypGHqfSVagQ,SHOWTIME,0, UNA ,3490,37456,4.61,186,157
28ANHLNElnA,YELLOWRIPPERS,924,Science & Technology,58,16610,4.97,1236,94
oi5dBnMZwdU,OnlyOneRoad4Life,1133,Education,540,86,0,0,0
6Cq-S5hGkPo,fiveawesomegirls,1134,People & Blogs,241,54912,4.95,997,1100
n5pkDB7zEeo,TheOnion,1114,News & Politics,136,601416,4.31,2702,3936
NzVDm9sZWGI,RikkiStormgren,1134,Film & Animation,235,150,5,2,1
IMPPOfbUVEc,scareykatt,1135,People & Blogs,90,271,4.52,21,0
uMwrbeGsoq4,LOTZLULZ,1129,People & Blogs,153,1577,4.17,18,23
zbr1EiIC2Ro,itschriscrocker,1126,Entertainment,5,2107255,2.21,21260,25301
jhyZGkGO4ZM,DarrellLWright,1129,News & Politics,568,1145,4.67,12,5
IVY-LDL7A3M,twokeyalexe2,1131,News & Politics,582,719,4.56,9,6
aIiRFSCgGu4,ericielfenix,922,News & Politics,588,667383,4.25,1181,92471
7NNZ5Jo51Y8,jgrandin1,1128,Film & Animation,57,772279,4.03,5056,4448
jerTuYBYRQQ,valmind39,1133,Music,260,1356,1,1,3
M3r2XDceM6A,ZackScott,1126,Comedy,155,1961692,4.17,12292,12418
LpdS9mLWz6A,scareykatt,1130,People & Blogs,40,586,4.53,17,8
Ddp012WOO7A,notdavidlynch,1113,Comedy,105,415185,3.18,1497,924
ubM00J4_624,modernoracle,819,Music,78,88825,4.71,584,1231
zO24laozD0A,Jamanfilms,1135,Comedy,21,695715,2.1,212,149
2dp8E7dQEQ4,erricshade,1134,Music,24,611334,1.59,222,148
LLM-jniqBI0,TubeKing99,1135,Entertainment,314,138964,4.18,169,129
n6m7Z1TtNk8,kushtv,1134,Sports,203,127335,2.3,125,95
2juAlJWjlrQ,universalmusicgroup,1134,Music,227,126413,4.04,561,539
dyotDV6E8cI,NBA,1135,Sports,125,109036,4.62,273,389
W_2OTpSjiSY,WillVideosFutebol,1135,Sports,69,88533,4.66,143,215
U_pY2PS3ryE,RedCarpetReportertv,1135,Entertainment,219,83528,2.84,81,76
gu0m8iCFbr8,barelypolitical,1135,Comedy,81,70518,3.62,189,189
gOdEqf5eoPo,ligue1ol,1134,Sports,136,70291,4.78,199,293
sb05uu7xIYg,AmIdol08,1134,Music,198,66523,4.76,369,388
8BfNqhV5hg4,kitchenfloorconflict,1133,News & Politics,116,1589110,4.74,6731,0
eRqZfts4ClU,blacktreemedia,1130,Music,560,881068,3.71,877,917
axxooGIgOKs,barelypolitical,1134,News & Politics,200,804987,3.88,2833,3586
n-Akqik3hME,childfoundationcom,1130,Nonprofits & Activism,204,778987,3.98,845,2900
P3dzFYaUK4s,21Movie,1133,Film & Animation,439,502412,4.02,1776,133
mIoxMoCyHCM,hotforwords,1133,Entertainment,226,500598,4.39,1800,712
UFWful5v0BQ,AtheneWins,1132,People & Blogs,1291,452068,3.23,2216,1052
aiJe4gUH0fk,FueledByRamen,0, UNA ,220,42087,4.88,647,468
CLEDJoGUbgE,hillarybrynne,1134,Entertainment,328,25424,4.61,297,477
UJ-H2cDNocw,ilMercantediLuce,1135,Comedy,128,51445,4.93,642,444
ptYqSntkD2E,tokiohotelchannel,1135,Music,376,54312,4.67,635,500
zQLlokXQZfo,OhSoJoNaS,1136,Entertainment,348,3643,4.87,157,108
G6SGwzsMZlw,slowdownsugar92,1134,Entertainment,596,11690,4.77,129,174
FbOQd9ArjCo,taralovessyou,1136,Entertainment,348,1950,4.96,107,75
7yZmEneMKGI,ILUVJOBROS,1134,Entertainment,417,7087,4.88,185,239
3a0K8bNb-Gg,OhSoJoNaS,1136,Entertainment,307,1320,4.97,118,92
SgMeFJBJCYU,patdlover4eva,1134,Music,336,5015,4.81,126,142
GFAVFSlQ5iQ,22mediaonline,1136,Entertainment,347,1548,4.76,92,65
E02R0C4DtjY,somedia,1131,Music,435,120718,4.9,1260,1826
4wwt-LolKIs,somedia,1131,Music,418,96501,4.89,1238,714
11_PQ9X_UHI,JonasBrothersMusic,1133,Comedy,51,222000,4.67,1578,3597
dMfy_2VLe1c,universalmusicgroup,1129,Music,205,340547,3.37,1913,2728
q-Ke1zCWgI8,,,,,,,,
ycWJaeohLig,1Reaning1,1130,Pets & Animals,35,337534,4.63,1604,1895
rAKvJZoR_5c,mcbird13,1130,News & Politics,298,56538,4.85,558,629
sZQEWa0ngZw,makemebad35,1131,Comedy,108,195702,4.28,2869,2705
_8ibV8dVuto,MediocreFilms,1129,Comedy,103,272440,4.43,2446,1461
XwbTEOd-Nb0,davedays,1131,Entertainment,161,132136,4.7,2506,1607
q7O2ApSMhv0,ThePwnageNinja,1130,Entertainment,51,86355,4.63,1979,1867
3nQINA-UQ-g,fiveawesomeguys,1135,People & Blogs,505,9759,4.89,1080,548
GM-ZjCmoLPw,hotforwords,1135,Entertainment,218,33201,4.72,753,361
1BYZjgnnSSI,TheHill88,1134,People & Blogs,285,13955,4.58,740,456
w3_N3KjEGlI,BarackObamadotcom,1135,News & Politics,240,21749,4.84,531,10
6Xq4xRGBYm8,ChurchOfBlow,1134,Comedy,169,4140,4.67,574,308
J4NZbX3pQaA,gradualreport,1135,News & Politics,158,8407,4.74,507,281
rtVbNdMHr60,AtheneWins,1136,People & Blogs,568,1139,4.81,480,271
xoBqI8EvG6w,nerimon,1136,Entertainment,304,3147,4.85,461,262
JFlc_dx57GQ,FatWrecked,1135,Comedy,20,3461,4.83,405,300
X5THlVnLFaA,thewinekone,1130,Comedy,572,103753,4.77,3805,2265
mBympCQcyzY,RonPaul2008dotcom,1129,News & Politics,386,93312,4.91,2291,2138
It6JN7ALF7Y,jedreport,1132,News & Politics,85,318309,4.86,2347,1310
m0aR6cnZOWE,HappySlip,1130,Travel & Events,248,326599,4.74,2789,2344
jNtoLZhV7nE,communitychannel,1131,People & Blogs,88,221387,4.71,3069,1622
1ziB8_mWqJk,WHATTHEBUCKSHOW,1130,Entertainment,312,209086,4.59,4773,1800
rNWt0J-MYko,watchtheguild,1129,Entertainment,209,176161,4.81,2113,1039
oXmYVRIpu2w,BarackObamadotcom,1129,News & Politics,63,422227,4.49,4489,42
9YMu6r0nzZE,wowhobbs,1134,Entertainment,487,67544,4.66,2254,758
b-LxHZxityM,peron75,1132,Entertainment,319,22931,4.84,1742,825
cCqOMpPO2VY,gitdrecords,1133,Music,171,204,3.36,111,103
#NAME?,Doki66,1115,Film & Animation,334,520495,3.86,1820,1575
#NAME?,ThinkingPositive,1101,Nonprofits & Activism,166,373396,4.32,1961,4935
aDgKLeeEDEI,mattylou55,1110,Music,268,338454,4.14,1103,749
bsvRGLQqeVQ,CurblyVideos,1112,Howto & Style,237,515792,4.41,1988,2502
vZ9p5_YSGt8,PolyvinylRecords,1095,Music,211,378542,3.61,1317,359
3OmN4B7yyS8,UNICEFUSA,954,News & Politics,300,262728,4.58,986,1155
gOARToiteow,ReelNASA,1108,People & Blogs,255,335816,4.56,648,578
fd0wIYugi6g,jacobgolden,1052,Music,165,261083,4.04,675,516
iap2qfP1XGE,VancouverFilmSchool,1126,Film & Animation,73,333158,4.09,558,456
Vc8tPTVBRSc,runawaybox,1123,Entertainment,148,2700217,4.32,8049,5068
ryJVQcG3tXg,secretcityrecords,1120,Music,188,277533,4.49,874,697
Th33ZesLBhg,rhiannonJoyceiwyo,1132,Sports,53,211176,4.58,95,536
BL5B8X114QE,ashantimusic,1108,Music,266,598593,4.55,171,143
xJkaKAIl_Fc,HortonGB,1128,Film & Animation,37,331916,4.87,1691,1948
yI-uDsNrmUQ,futvolg0les,1135,Sports,128,26343,4.59,22,50
krqCi_y3z1g,LilWayneMuziiC,1122,Music,298,196472,4.67,316,355
tlfo_MuaGK8,warnerbrosrecords,0, UNA ,229,126223,3.9,592,583
RYXC0-0YJ-0,sicily91palermo3,1118,Entertainment,279,419664,4.75,973,751
O2uErWWwQTo,Saratica2,1134,News & Politics,88,28634,4.86,93,31
7n3jD-kxb1U,FastLaneDaily,1134,Autos & Vehicles,310,25124,4.31,113,168
UfaGzVuhgxM,gemong1,1126,Science & Technology,15,73294,2.4,50,74
xuiUtoWnuZ0,all4tubekids,1120,People & Blogs,51,6268,4.9,79,16
_sxQdBqiQsE,,,,,,,,
EeuEMeg8eQE,ewupawly,1125,People & Blogs,123,426535,4.64,2123,1098
9-4IFUak_U0,serpento99,1117,Entertainment,128,1098429,4.88,17049,9541
y2JhGO99EBk,wookiielover,1134,Music,127,5850,4.69,45,54
3crE_l5KtLI,frankjpmorgan,1136,Education,58,137,0,0,0
8jHREeC_pUQ,bethany9788,1136,Entertainment,17,120,0,0,0
LhYcWvmWJME,Angels4Animals,1136,People & Blogs,79,110,0,0,0
jq0L7_iUqcE,juan833blue,1136,Travel & Events,16,77,0,0,0
ia4sbsJJNyQ,powerballsvideos,1136,Sports,56,97,0,0,0
OvCbxJJJYjs,dingpolistico,1136,Pets & Animals,233,62,0,0,0
s0wsM6rCu50,cpfreak730,1136,Music,261,63,0,0,0
deT9dpKhAQg,marcolindoso,1136,Autos & Vehicles,30,70,0,0,0
GL2De8JiOjs,kclapp01,1136,Entertainment,146,0,0,0,0
ujVvrve5HT8,Scott7738,1136,Comedy,31,16,0,0,0
mte4FAGQ5fw,StunnerMate,1136,Comedy,26,106,1,1,0
x8PoT7dB-kE,cmcgeh,1136,Travel & Events,25,3,0,0,0
Yl6vBXCa4uM,TakidaLina,1136,Music,31,2,0,0,0
bW4R8lkR9dM,rapstati0n,1136,Music,233,3,0,0,0
hezPlFwjniU,ShooAngel,1136,Music,207,3,0,0,0
1p5nDSiywGw,chipmunked101,1136,Entertainment,231,0,0,0,0
ftAEmYgN3Kg,nationals0708,1136,Entertainment,30,0,0,0,0
o5TyVwVpOMs,barNoNsouthport,1136,Music,30,0,0,0,0
qszjeyBNx14,sasdori01,1136,Entertainment,42,0,0,0,0
_x1MbKWiikM,Amandael08,1136,Comedy,7,0,0,0,0
n-MT6JkwEBk,sousouzanzan,1136,Comedy,20,0,0,0,0
9eMvoAWAKUg,LibrarySafe,1136,Education,112,0,0,0,0
APpkC0K9kGI,BC3JR,1136,People & Blogs,63,0,0,0,0
tjeb--sjk7Y,BabloPicaso,1136,Sports,60,0,0,0,0
XXW3YdeRscc,brigitteliz,1136,Comedy,53,0,0,0,0
MDmqRTahAGk,jamesrichardson01,1136,People & Blogs,377,0,0,0,0
lkGODRY0I6U,dakaskos31,1136,People & Blogs,162,0,0,0,0
0vdFwo4nhZY,CLB45,1136,Entertainment,9,0,0,0,0
cvyWz0itTiM,xster71,1136,Entertainment,514,5,5,1,1
FTFs-lw8exo,theevang1,1136,People & Blogs,331,0,0,0,0
vLUR8Hzr740,TheRealAix,1136,People & Blogs,333,0,0,0,0
ZXyGmpE7MW8,maleficent54,1136,Film & Animation,324,15,5,1,1
haOxt1wpWQA,messlycem,1136,Comedy,19,4,5,2,2
Y8OpaMWdJqw,cpmilken,1136,News & Politics,68,0,0,0,0
qmUHTrcQqug,megaline23,1136,Entertainment,77,3,0,0,0
33GU5V5BsPo,Krashhedd,1136,Entertainment,166,1,0,0,0
4vdHdlCC3m4,SimonRussellsmlyjt,1136,Film & Animation,41,0,0,0,0
VcIycK3ZQRc,SoFun74,1136,Film & Animation,239,3,0,0,0
btNSbaTzACM,unclebanana,1136,Comedy,103,1,0,0,0
zb-9Awkv8rc,ejones433,1136,Music,200,0,0,0,0
dcx7IiFT5RU,recaravaggio,1136,News & Politics,61,0,0,0,0
mbYiTuadeII,ExtremeChris15,1136,Entertainment,197,4,0,0,0
gotIbFfFVlE,ericvicentetube,1136,Sports,187,0,0,0,0
fhxpRCAVDgc,reche003,1136,Pets & Animals,141,4,0,0,0
5SmLg29ihFs,QaRiZzMaA,1136,Comedy,151,0,0,0,0
#NAME?,911NEWSS,1136,Science & Technology,323,0,0,0,0
GtDA1Rm-43o,Fabiboy89,1136,Comedy,62,3,0,0,0
DhUmkuDbkJA,reynaldo182,1136,Sports,45,0,0,0,0
ndjCjHucw1w,forzacatania46,1136,Autos & Vehicles,49,0,0,0,0
LWfV5N7CnU0,MultiplexRG,1136,Film & Animation,171,0,0,0,0
ok0JcwFirAk,SuteUp,1136,People & Blogs,197,0,0,0,0
VMFJ4Ob33o8,gselander,1136,Music,128,0,0,0,0
EEqUUo1UtS8,vidalokaparte1,1136,Science & Technology,240,0,0,0,0
X2f-LtSvwXA,cherrybeary45,1136,Howto & Style,73,1,0,0,0
PaouivsuwCY,zonamagia,1136,Howto & Style,40,7,0,0,0
lh8kCm7MCDc,NorthPortStrad,1136,Entertainment,216,0,0,0,0
HZTWFrHvjHo,tnesie,1136,People & Blogs,15,1,0,0,0
MbHX5scIDMA,AtemuVoice,1136,Travel & Events,187,0,0,0,0
XFsnmCDdKq0,tigerninja31,1136,Film & Animation,12,2,0,0,0
OFIUh_CcGkM,europeanhubblecast,1136,Education,43,1,0,0,0
ZZpZOI-QBQU,AssociatedPress,1136,News & Politics,65,74,5,2,1
uIKeow5zkpo,MIISSK92,1136,Entertainment,181,0,0,0,0
Stum3XeZWjg,procuriosity,1136,People & Blogs,46,0,0,0,0
HS6fmtvhfBE,j0rg300,1136,Travel & Events,15,0,0,0,0
wYA6Fv1K68k,Azkhel,1136,Sports,60,7,0,0,0
G_LCusXVjXM,MelodyAndy,1136,Entertainment,39,0,0,0,0
igZdpMlGbWI,iloveyou312,1136,Entertainment,221,0,0,0,0
ITkCUj1zPw0,9greendayfan8,1136,Entertainment,513,0,0,0,0
pPkCDJWbRdw,RikkiDORKFACE,1136,Comedy,203,0,0,0,0
xwys8Zng-9c,becky0604ny,1136,People & Blogs,79,0,0,0,0
MaBpfvl0xGc,levent99,1136,Education,14,2,0,0,0
z3r0KBYm7BY,imXaXloadedXgun,1136,Comedy,4,0,0,0,0
UD9TJFe03A8,reneewoerdman,1136,Pets & Animals,78,0,0,0,0
HkYsPa9yYwE,itssophiehammertime,1136,Music,223,0,0,0,0
5-2I5w1n4rQ,ArTaNize,1136,Education,526,0,0,0,0
r6gXENJbryg,bloodbeat1,1136,Entertainment,220,12,4,1,0
W7wFSxqN8cA,sanfrandummiebaar,1136,Music,263,0,0,0,0
6MECXpTiWrc,chanelluvs,1136,Entertainment,115,92,1,1,0
oOzBvdOtt5Y,shinnn81,1136,Sports,578,1,0,0,0
r6xmYdCwkN8,saaabath,1136,Music,37,16,3,2,2
NX4VifImGsw,napea2,1136,Music,199,2,0,0,0
cRa629WqwMc,tibo44460,1136,Entertainment,29,0,0,0,0
DoZC1HYHu7M,hironistelrooy,1136,Music,199,0,0,0,0
9pzw0mAODlY,jadw13,1136,Entertainment,361,0,0,0,0
4HE2P17hU20,Tonilietor,1136,Entertainment,166,0,0,0,0
thRxSFKGHXg,Wamodi,1136,Music,238,0,0,0,0
wIZDKaduWsQ,ScrabbleJL,1136,Film & Animation,57,0,0,0,0
Pfn7L51e5Is,tibo44460,1136,Entertainment,600,0,0,0,0
DFqS23fpk4M,zmc12321cmz,1136,Comedy,29,0,0,0,0
17IMWyNVOIg,dizifull,1136,Film & Animation,616,54,0,0,0
ZMcuCWBozzc,TommyN00b,1136,Education,5,0,0,0,0
Ne2cJhY3HGo,journyx,1136,Education,36,0,0,0,0
bl5x9cGEvYk,mindlifter,1136,People & Blogs,71,0,0,0,0
c9n65C1OK2M,chuda1985,1136,Music,210,0,0,0,0
wl5ztupSVLg,SimonRussellsmlyjt,1136,Film & Animation,63,0,0,0,0
TLxiK5K2A7w,bosnaqiirlx3,1136,Comedy,252,0,0,0,0
hyswDZpNar8,beki0555,1136,Pets & Animals,24,0,0,0,0
fAffvIg2w1U,wavesg00dbye,1136,Music,34,0,0,0,0
sUYz2--i_Hw,ice500,1136,Entertainment,78,5,0,0,0
91gEbvB9U_M,corentin51,1136,Autos & Vehicles,4,0,0,0,0
kAhMJHat0cI,LisaNova,1137,Entertainment,284,141189,4.3,3090,1976
RTNXfv5zNss,machinima,1137,Entertainment,1206,123367,4.91,2115,1822
74N_Yn27ZWc,sxephil,1137,Entertainment,275,140875,4.55,2435,1636
Oi9VzgDseL8,ukjonasbrothersfan,1137,Entertainment,62,81526,4.84,1089,1354
dznIgkR50Os,toniCHRYSA,1137,Film & Animation,389,108391,4.84,702,1365
wpT6nMfrBMQ,GayGod,1136,Travel & Events,36,75364,3.5,654,1232
j-QYIP7o2-A,JohnMcCaindotcom,1136,News & Politics,62,118564,2.56,970,1429
xNADyuI5cS0,peron75,1137,Entertainment,281,8187,4.89,939,1069
GD0P5b1JAsU,FLuffeeTalks,1137,Comedy,112,13374,4.89,701,953
_S_WvbRgScI,GTAmissions,1136,Entertainment,84,43980,4.85,532,932
gUtj4dL38r4,machinima,1136,Entertainment,79,76898,4.72,644,856
S72hJ7r7eiU,smpfilms,1136,Comedy,82,25203,4.27,978,850
hmIzuDEJ7zg,mrpregnant,1137,Comedy,147,22925,4.46,256,843
8Wdrkp_qJFA,sosolid2kk,1137,Science & Technology,245,18576,4.89,855,958
AcDdE-h6N2o,xenutv1,1137,Pets & Animals,85,9429,4.92,1332,804
EvXDA5PWFqw,hotforwords,1136,Entertainment,201,98609,4.54,1198,731
_LHoyB81LnE,chickenphish,1137,Pets & Animals,509,110516,4.89,1220,670
6oxH6LVX8Wc,machinima,1137,Entertainment,79,15162,4.9,397,593
P9z7-PXnGqM,AELmedia,1137,Nonprofits & Activism,443,55780,2.38,362,563
GCUqHATyGhA,w9c53nfj,1137,Entertainment,510,69426,4.8,234,558
0zsZ9Nb5_lM,,,,,,,,
ZE2EZH6gsGw,1superstarjames,1131,Music,392,60193,4.42,60,13836
et6yUNr4pcQ,SammieTV,1133,People & Blogs,112,36137,4.3,37,9180
1-0BMhq9JPE,Stompdown,1134,Music,257,5892,4.78,156,154
mPABHtNi-uk,cidlove,1138,People & Blogs,106,4663,3.67,6,4
8Yo-5jx2-lg,steej88,1122,Music,157,161132,4.5,1287,1409
RF8lcGoS9Yc,bombthebassHQ,1127,Music,225,101771,4.15,1307,769
#NAME?,OtisImprov,1133,Comedy,199,177154,4.18,807,657
SVpkUR4J5GY,funboxcomedy,1134,Comedy,185,121020,3.4,1193,718
cIi4PDaku_o,SouljaBoy,1134,People & Blogs,276,57730,2.51,981,1827
rhEBxOIoU_A,michaelpyro,1137,Comedy,279,1760,4.69,32,33
L_mc7sYk-OA,valmind39,1138,Music,161,259,3,7,3
l7pJADajKcM,illumistream,1136,Howto & Style,203,296778,4.04,480,214
olZZGiF-joM,MondoMedia,1136,Film & Animation,112,272599,4.59,2086,973
XbVzaYVWLhg,ChristopherMast,1133,People & Blogs,36,2032,4.72,81,72
LUqX3Kn-7WE,Jamanfilms,1137,Comedy,18,579626,2.17,150,188
R5WU30XKf8c,erricshade,1136,Entertainment,20,287405,1.42,36,22
NV2uITx6QCs,islamclight,1137,Education,239,292581,2.73,587,545
9pHRVGgZxgM,bcnnbc2003,1137,Entertainment,0,211664,2.1,134,86
F3TKYb9kw8g,BuDailyVideo,1137,Entertainment,91,143107,2.06,34,36
UA3l0O8TaOM,LinuX0702,1137,Sports,446,136893,4.41,153,206
GLjVH6DuajM,diethealth,1137,Howto & Style,77,111780,3.67,46,67
NEOmx4k79N8,universalmusicgroup,1136,Music,291,111668,4.46,620,334
ChkAdoNwSn0,vlogolution,1137,People & Blogs,105,103101,3.31,671,508
5uifiIfDb6s,NBA,1136,Sports,132,89249,4.73,277,331
FbAcwRx9tQk,sean2079jp,1137,Comedy,656,101155,4.67,81,15
DPBZEinmw4I,sean2079jp,1137,Comedy,483,80865,4.94,72,6
5GnyUYjbNGQ,Hollywood2DEF,1136,Entertainment,105,935311,3.37,333,454
g-863Ds8HKI,WWEFanNation,1136,Entertainment,119,767574,4.41,3923,1092
8NpzOgSSDvc,TheWeekendRules,1134,Comedy,132,566330,4.53,678,236
Z9Akpi2dIqE,serdarsomay,1136,People & Blogs,92,556254,2.39,1074,378
1KaXBgSw2OI,HilariousVideosLol,1137,Comedy,238,73881,4.76,1434,285
gTIBAyidRDc,sweetsinger101,1137,Entertainment,24,14904,4.86,168,197
MRuAHYySgcY,AniyahHorne1813,1138,Entertainment,38,757,4.14,1032,1
WpmKUSxI_bs,SummerLester4705,1138,Entertainment,43,503,2.31,975,2
5QsljRQBBkY,GiselleWeaver1407,1138,Entertainment,58,631,4,1023,1
_3NNaGL-lqM,CadenceBartlett8413,1138,Entertainment,66,653,4.73,1027,2
kTPrDCCJbwk,universalmusicgroup,1137,Music,244,41545,4.8,393,254
MTBVORtCdI4,ThoseLilRabbits,1136,Comedy,290,27155,4.68,1228,546
3s5d-JBXcyA,sean2079jp,1137,Comedy,431,75809,4.79,86,23
eaGgpGLxLQw,randomslice,1137,Comedy,237,28735,4.45,620,324
REVwO1B66Vo,JabbaWockeezFan07,1137,Entertainment,575,27106,4.91,187,93
15S0g8pG6HU,jonlajoie,1137,Comedy,78,13110,4.86,1307,519
Cwh2PE9Mgm0,moviesharesuk,1136,People & Blogs,556,62814,4.86,170,121
k99iacR36Gc,MixtapeMessiahJr619,1133,Music,220,151021,4.9,1241,1025
s26EEQ1_nLU,LupeFiasco,0, UNA ,247,129550,4.91,1091,1058
GRqeIXqux8A,cdk007,1136,People & Blogs,227,3698,4.79,1172,182
w7jmkAvtukM,gravel2008,1136,News & Politics,130,8428,4.94,928,526
6V21dOI6NOs,Thunderf00t,1137,Science & Technology,124,2087,4.95,911,179
3zesnNdverg,fiveawesomeguys,1137,People & Blogs,246,7470,4.91,614,278
fomvApObpkM,boyceavenue,1134,Music,178,311293,4.77,2216,1539
ByuqwvRqcvI,sxephil,1133,Entertainment,324,180037,4.62,2316,2285
4DdCFczrodc,BritneyTV,0, UNA ,201,357420,4.67,1872,1553
cuHF_br-DBs,Thunderf00t,1133,Science & Technology,600,20440,4.71,1742,688
ZrTztwVN95U,dm3666,1118,Entertainment,126,231907,4.36,739,489
r4qxbkyQNJQ,jwabacus,1122,Music,405,8346,4.81,27,8
vfQCE2917NE,wiirulez89,1111,Education,322,35312,4.62,233,323
cj_uL4EU0rw,yiyitox,1136,Education,161,17646,4.21,39,62
8yNVt-9cThw,HollowGomenReturn,1133,Film & Animation,598,131350,5,1,405
sLHvKsv64Y0,crimson3707,1137,Howto & Style,273,11189,5,1,12
2RvO0gkOlyQ,onetimeonlyupload,1136,Comedy,403,21277,4.86,93,41
JYOQmsclSwk,HBO,1133,Entertainment,118,55993,4.5,221,83
xNT-JRyWykM,Google,1126,Howto & Style,44,824771,4.27,78,161
rXLttMyfj9M,silasdante,1138,Comedy,32,223,0,0,1
ktPzFFp9cs8,dumezofnashville,1138,Sports,43,220,0,0,0
l4rVmMDdQDs,JRandBob,1138,Music,165,201,5,1,1
hfJy9WO0THY,GuerraCivilTV,1138,News & Politics,591,205,0,0,0
WrnkGowQDG4,rafaelmacintosh,1138,Entertainment,72,204,0,0,0
2IJmB0n_Kto,AnzenKaishi,1138,Comedy,101,220,1,1,0
dL9JRVURIpU,mangusto91,1138,Comedy,88,210,1,1,0
S0k4qx43Gqw,sabrilea,1138,Comedy,42,241,0,0,0
FxlDFz0Nl8E,DJKevino,1138,Sports,15,248,0,0,0
2QEctCiwjC4,pppppp182,1138,Film & Animation,7,201,1,1,0
#NAME?,SugaHoney22,1138,Education,11,50,0,0,0
GwD_8ZuK__Q,nct012,1138,Entertainment,32,52,0,0,0
ruDVnnf2Pqc,aqfreak112,1138,Comedy,26,29,0,0,0
1r4hBa8haeQ,Misterpangloss,1138,Music,272,92,3,1,0
