Length,Views,Rate
18,0,0
56,0,0
40,0,0
55,0,0
180,0,0
136,0,0
150,0,0
170,0,0
211,0,0
59,0,0
17,0,0
72,0,0
94,0,0
29,0,0
209,0,0
46,0,0
23,0,0
55,0,0
127,0,0
379,0,0
31,0,0
75,0,0
121,0,0
57,0,0
350,0,0
30,0,0
30,0,0
77,0,0
174,0,0
108,0,0
247,0,0
60,0,0
76,0,0
168,0,0
97,0,0
99,0,0
220,0,0
192,0,0
66,0,0
61,0,0
64,0,0
37,0,0
42,0,0
20,0,0
114,0,0
137,84865,3.43
144,61799,3.22
143,53057,3.67
508,49834,4.95
60,225539,4.41
233,20150,4.59
224,62556,4.48
393,99991,4.81
90,245959,4.64
141,24363,4.79
608,1950,2.6
220,97426,3.35
128,92672,4.67
443,82922,3.84
31,122788,2.32
100,37006,4.32
311,110949,4.74
361,2320,4.88
231,15410,4.58
378,139046,4.62
596,353,4.9
83,4215,2.79
252,135042,4.45
83,663119,4.58
106,3211,4.27
301,2057,4.58
243,513359,3.14
155,639,5
173,546,3.67
251,770805,4.56
768,324336,3.26
590,298958,4.76
203,222096,4.85
34,215694,3.45
552,172090,4.9
650,180140,4.89
266,174768,4.91
617,170041,4.83
584,167640,4.91
654,126779,4.9
637,145619,4.93
457,137851,4.92
638,115656,4.93
197,125503,4.73
654,125122,4.8
62,800954,1.91
106,810155,4.32
392,715892,3.92
285,84181,4.36
230,4762,4.97
38,17955,4.79
148,13448,4.88
34,67154,4.9
223,51976,4.81
265,74858,4.94
281,26663,4.93
149,68130,4.95
6,62385,4.38
269,36681,4.91
86,26067,4.93
233,114446,3.85
270,103349,4.21
189,33961,4.51
90,54589,4.59
193,9334,4.88
139,12028,4.86
207,16594,4.87
656,15028,4.79
244,7513,4.93
96,8482,4.87
154,8773,4.84
153,29628,4.7
177,84225,4.91
211,95271,3.82
86,39870,3.49
201,52881,4.84
212,60119,4.27
277,54648,4.45
94,178510,4.33
568,45383,4.8
291,22282,4.69
99,29724,3.56
227,240575,2.77
380,80872,4.81
56,10957,4.5
338,239551,3.48
458,7460,4.14
291,36834,2.36
332,48833,4.51
348,201738,4.33
41,29532,4.88
107,367403,4.24
32,27600,4.88
502,165449,5
135,32260,4.59
98,209,5
209,217,0
45,199,0
138,216,0
266,210,0
59,176,0
155,180,0
115,182,0
109,189,0
166,5,0
29,15,0
133,12,0
41,2,0
258,0,0
13,8,0
182,0,0
105,0,0
248,6,0
6,0,0
93,1,0
128,0,0
242,0,0
36,21,0
505,3,0
14,0,0
10,0,0
65,0,0
228,0,0
102,0,0
133,10,0
153,5,0
220,0,0
181,0,0
148,22,0
301,34,0
52,5,0
23,0,0
89,40,5
15,11,0
217,0,0
137,0,0
524,10,0
242,23,5
38,0,0
81,0,0
36,12,0
251,14,0
95,14,0
317,3,0
293,3,0
63,0,0
19,20,0
9,7,0
315,1,0
118,5,0
215,0,0
39,0,0
160,0,0
8,0,0
22,7,0
504,2,0
287,2,0
511,0,0
390,0,0
190,0,0
169,47,0
51,27,0
157,2,0
175,0,0
488,0,0
30,2,0
77,0,0
41,0,0
24,1,0
10,1,0
47,0,0
311,0,0
245,0,0
16,0,0
282,2,0
117,6,1
416,0,0
419,0,0
37,5,0
22,0,0
593,0,0
147,0,0
223,0,0
201,10,0
98,4,0
283,0,0
164,12,5
284,0,0
29,6,1
1,0,0
278,2,0
171,99585,4.66
257,372510,4.89
257,112825,4.22
14,217686,3.73
149,13923,2.41
135,53731,4.78
494,38500,4.55
249,97581,4.81
95,1683,2.64
506,18140,4.16
376,26181,4.7
62,11021,4.87
98,1324,2.27
247,136266,4.52
274,358,5
301,10395,4.73
127,18877,4.48
112,188746,3.42
40,39860,4.69
269,47016,3.86
123,329125,4.19
385,670034,4.66
127,736968,4.7
341,1055,4.99
233,5274,4.36
183,409,4.86
2856,317674,4.18
40,1735787,4.82
254,257,4.17
6,115360,4.59
30,116,5
48,217630,4.43
215,202123,3.81
31,199506,1.7
60,143109,4.8
345,134440,3.43
600,97682,4.81
223,90135,4.62
57,87459,1.85
311,83149,3.94
155,82413,4.38
128,75460,4.7
60,65965,4.93
54,65310,1.46
87,810335,4.11
36,560184,3.62
172,207,4.98
264,45646,4.78
574,21707,4.91
47,2050,4.94
180,6481,4.89
69,24406,4.84
92,7847,4.79
149,13630,4.92
359,360,5
379,371,4.63
86,8361,4.78
243,356,4
100,235740,4.75
552,59028,4.75
137,14648,4.79
624,10940,4.83
981,8448,4.84
144,10016,4.71
157,6784,4.74
264,12978,4.78
2303,5342,4.72
56,5382,4.9
320,151820,4.72
81,8054,4.45
526,104747,4.11
29,203,0
8,220,0
140,190,0
371,202,0
195,190,0
30,221,5
52,168,0
19,193,0
301,200,0
108,111,0
154,45,0
24,0,0
157,31,1
30,19,5
336,0,0
44,3,0
111,42,0
184,6,0
198,30,0
46,0,0
92,0,0
86,0,0
107,0,0
11,0,0
218,0,0
480,0,0
30,0,0
213,2,0
475,49,0
150,0,0
120,3,0
3,4,0
178,31,0
70,0,0
375,0,0
45,119,0
259,0,0
553,0,0
272,0,0
15,0,0
428,3,0
203,0,0
168,0,0
87,2,0
96,0,0
146,120,0
276,0,0
231,0,0
138,0,0
467,0,0
66,0,0
354,80,4.78
177,0,0
224,0,0
260,0,0
105,0,0
331,0,0
8,0,0
40,0,0
115,0,0
163,0,0
292,2,0
600,0,0
220,0,0
424,1,0
247,0,0
414,0,0
213,0,0
110,0,0
105,0,0
626,0,0
11,0,0
356,0,0
279,0,0
226,18,5
149,0,0
130,0,0
51,13,0
114,0,0
54,2,0
110,0,0
405,0,0
46,5,0
134,3,0
17,2,0
24,0,0
85,58,0
17,0,0
123,0,0
385,2,0
10,66,0
574,9,0
258,0,0
177,9,0
24,6,0
44,0,0
293,2,0
311,6,0
18,0,0
33,119847,4.71
239,109159,4.67
293,3998,4.36
105,141557,4.69
250,422629,4.35
218,90132,4.58
330,49640,4.45
543,37224,4.16
80,12124,4.69
158,37838,4.84
88,18063,4.71
202,434456,4.23
52,62441,2.74
154,1728,4.8
101,13026,4.46
105,188618,4.63
589,66028,4.8
221,67717,3.77
287,14369,4.83
50,136851,4.02
245,15702,4.9
69,249342,4.44
104,1224,5
223,195465,4.17
207,95125,3.63
31,633497,2.54
288,260996,4.71
106,457,4.29
283,194020,4.6
33,232,5
219,71,5
114,125,5
384,219525,4.61
72,177082,4.84
135,172339,4.79
407,123110,4.54
272,102637,4.54
246,80020,4.59
91,78733,3.45
59,77226,2.15
94,75940,4.74
50,66049,3.87
41,1264782,3.34
32,627672,3.87
50,502446,2.79
280,8584,4.95
8,19957,4.8
175,15686,4.86
376,18021,4.92
279,61298,4.19
105,12146,4.94
105,14741,4.87
111,7490,4.92
240,20411,4.88
309,869,4.58
568,26458,4.83
274,18620,4.88
299,247,4.9
235,45712,4.87
184,37789,4.65
187,20332,4.91
600,9580,4.93
231,84922,2.25
233,87294,3.76
191,37206,1.82
193,25253,4.32
87,4285,3.25
269,206743,4.68
141,200539,1.88
11,2102,3.4
178,6427,3.34
838,27809,2.33
33,16558,4.88
48,5602,3.07
184,73471,4.53
231,135,0
168,52,0
102,134,0
19,145,0
11,113,0
171,166,5
176,113,0
46,128,0
17,67,0
24,112,0
261,18,0
61,3,0
599,9,0
540,2,2
383,8,0
253,0,0
325,1,0
28,0,0
255,0,0
100,118,0
299,0,0
220,1,0
92,221,0
163,2,0
20,0,0
15,11,0
48,1,0
112,1,0
175,2,0
30,0,0
12,0,0
187,4,0
20,0,0
61,41,5
311,12,0
182,0,0
204,12,0
163,10,0
48,7,0
154,0,0
55,0,0
61,4,0
50,0,0
5,0,0
90,114,1
240,0,0
32,4,0
55,6,0
170,7,5
332,13,0
44,0,0
130,1,0
599,0,0
291,1,0
22,1,0
588,0,0
58,0,0
25,2,0
270,0,0
195,9,0
480,0,0
182,0,0
493,0,0
25,6,0
164,0,0
320,7,5
182,0,0
161,0,0
241,0,0
25,0,0
117,6,0
132,36,0
16,0,0
53,0,0
28,10,0
593,2,0
66,0,0
24,0,0
465,7,0
136,0,0
17,0,0
188,1,0
630,0,0
142,0,0
205,0,0
91,0,0
15,0,0
229,10,5
46,0,0
253,2,0
308,3,0
135,0,0
35,0,0
334,0,0
9,6,0
322,0,0
179,2,0
221,0,0
102,19,0
20,3,0
191,252546,4.36
215,264952,4.63
339,55621,4.84
259,93956,4.74
239,138458,3.7
605,127120,4.78
434,144360,4.61
179,42011,3.66
353,23161,4.91
126,86900,4.68
202,182185,4.83
175,10366,1.41
374,22012,4.46
55,189973,4.51
329,1076,4.8
125,26517,4.64
589,28407,4.92
94,1163,4
53,34049,4.61
310,13465,4.8
138,141474,2.54
180,654427,3.54
188,644921,4.77
106,418459,4.71
136,965125,4.27
542,132614,4.83
260,70791,2.28
89,204986,3.54
323,444945,4.53
177,324885,4.61
170,260784,3.46
247,337,1
268,1733,5
326,313367,3.41
53,1411120,4.52
240,215,5
119,6594,4
60,263149,3.82
289,450,5
214,107052,3.35
65,555,4.27
142,274249,4.62
727,3307,4.74
540,227,5
79,172,5
24,272243,1.77
225,196563,4.72
150,145012,2.14
246,85941,4.29
82,128949,3.7
624,34441,3.3
36,112538,4.7
14,14170,1.53
593,50355,4.94
590,26528,4.71
125,107214,4.79
185,94568,3.36
576,1177773,4.02
368,773305,3.97
30,617796,3.95
470,416572,4.51
272,589962,2.33
164,520016,4.77
74,481244,4.4
144,155749,3.92
182,21035,4.93
201,2166,4.92
249,2131,4.9
294,32328,4.86
231,1466,4.94
231,1577,4.96
194,1756,4.95
445,13241,4.6
326,21368,4.86
438,853,4.92
83,308341,4.68
175,312357,4.37
40,67759,4.76
225,197985,4.85
65,71285,4.8
178,9395,4.84
159,61519,4.69
265,74666,4.85
423,13130,4.83
295,18504,4.91
152,17066,4.87
556,5962,4.74
150,11701,4.87
338,93283,4.74
303,118366,4.91
248,153407,3.55
218,315868,3.16
236,196717,4.54
180,197111,4.28
216,355962,4.34
67,535387,4.6
265,231981,2.74
188,5181,4.2
535,4713,3.57
386,7211,5
352,85494,4.57
23,254562,4.53
169,663255,3.86
482,130963,4.9
501,95302,5
11,118141,4.38
291,248732,4.84
89,109674,4.29
59,104755,3.13
199,116,0
287,102,0
167,81,0
49,113,0
23,91,3
38,131,0
58,98,0
190,92,0
199,84,0
24,90,0
155,32,5
170,20,0
185,20,0
55,11,0
24,9,0
275,24,0
53,2,0
190,0,0
8,0,0
37,7,0
131,0,0
582,6,0
176,7,0
44,0,0
15,6,0
258,0,0
92,10,0
209,79,0
211,0,0
615,0,0
471,0,0
526,3,0
72,1,0
95,0,0
386,9,0
39,0,0
230,3,0
36,0,0
10,2,0
114,5,0
249,4,0
102,0,0
40,0,0
30,12,0
168,2,0
47,0,0
202,0,0
229,0,0
71,1,0
477,1,0
46,14,5
30,7,0
143,0,0
483,0,0
123,0,0
31,0,0
77,0,0
62,0,0
108,0,0
226,0,0
200,0,0
9,0,0
225,11,0
20,2,0
40,9,0
111,0,0
622,0,0
16,0,0
64,0,0
127,0,0
517,2,0
152,0,0
58,35,0
158,2,0
77,0,0
76,0,0
232,3,0
38,23,0
268,0,0
356,2,0
91,14,0
64,5,0
294,6,0
12,0,0
176,0,0
115,2,0
111,0,0
45,0,0
35,0,0
13,1,0
17,0,0
6,0,0
488,0,0
9,2,0
305,0,0
247,0,0
277,0,0
154,0,0
63,0,0
146,0,0
324,278820,4.65
228,93184,4.61
175,1938,4.69
402,52465,4.54
93,66614,4.9
54,68257,4.78
149,87368,4.7
49,38195,2.04
183,47374,4.63
226,128327,4.79
237,126432,2.35
144,192530,4.43
38,384,5
46,55357,3.14
181,201468,4.76
133,3017,4.65
195,829,4
300,9779,4.82
199,3045,4.85
283,53127,4.9
108,660895,4.5
288,417248,4.85
538,1520,4.58
199,665,5
265,224414,4.21
275,1474,4.81
540,99,5
249,3064,4.89
142,12312,4.79
229,86,5
150,228780,2.16
116,131892,3.35
216,595307,3.18
353,219214,3.48
561,196083,4.65
1141,242376,4.49
298,132958,4.6
76,104638,3.45
138,107970,4.74
285,90444,4.86
569,85236,4.61
159,84383,4.21
404,84915,3.78
42,82487,3.94
254,76577,4.89
255,67999,4.87
224,65269,4.74
202,8972,4.93
558,2974,4.92
170,3722,4.93
100,8253,4.87
28,44658,4.23
155,1190,4.87
146,2321,4.94
499,11306,4.97
31,46798,4.29
307,18708,4.81
253,19606,4.69
313,23000,4.92
1311,55042,4.72
190,13159,4.94
238,54131,4.64
420,4699,4.88
335,221,4.9
122,4174,4.85
77,6297,3.5
20,45183,4.65
218,3012,4.6
42,46537,4.88
189,63676,4.75
215,147234,4.85
570,12108,4.95
121,192787,4.77
131,44352,4.69
576,22847,5
167,207,0
107,216,0
4,226,4
319,228,0
324,212,0
24,201,0
16,240,0
252,204,0
160,205,0
273,265,0
139,53,0
60,39,0
47,47,0
4,81,5
171,83,0
190,124,0
82,32,0
153,6,0
65,2,0
162,0,0
307,0,0
26,0,0
139,0,0
17,0,0
130,1,0
13,6,0
17,0,0
103,0,0
37,0,0
9,0,0
9,0,0
49,2,0
5,0,0
60,3,0
68,0,0
159,0,0
46,0,0
43,0,0
61,0,0
218,0,0
300,0,0
170,0,0
501,1,0
353,0,0
60,0,0
287,0,0
13,0,0
14,0,0
52,0,0
2,0,0
204,0,0
19,0,0
64,0,0
98,0,0
18,0,0
29,0,0
585,0,0
21,0,0
187,0,0
145,0,0
105,2,0
108,0,0
181,0,0
74,0,0
94,0,0
584,0,0
154,0,0
218,1,0
173,0,0
17,0,0
120,5,5
120,0,0
186,0,0
453,0,0
2,0,0
382,0,0
197,0,0
10,0,0
177,0,0
455,0,0
33,0,0
195,0,0
167,0,0
30,0,0
278,0,0
11,0,0
140,0,0
308,0,0
61,0,0
168,0,0
260,0,0
55,0,0
208,0,0
14,0,0
113,0,0
40,0,0
102,0,0
599,0,0
183,83655,4.94
122,128208,4.67
199,260961,4.72
652,337327,4.73
124,106815,4.53
79,28421,4.91
56,6898,2.67
5,12451,4
156,7598,4.97
49,19500,1.72
525,62864,4.75
217,34444,4.66
225,6417,4.58
232,50604,4.23
192,16943,4.78
149,42685,4.79
133,133381,4.6
131,7449,1.35
33,137375,4.72
597,646301,3.91
53,1363972,2.36
100,416,5
214,10714,4.58
36,12884,4.31
73,121867,3.47
382,1845902,3.01
399,5189,5
136,323,5
258,88556,4.37
88,300001,4.31
60,309690,2.52
140,260610,4.48
224,262380,2
71,212923,3.36
87,215389,4.89
137,240262,4.36
30,180330,2.04
361,59074,4.76
172,23136,4.91
125,31336,4.98
140,34788,4.71
80,23887,4.92
280,1225,4
303,1089,4.98
258,1016,4.98
248,717,4.99
235,940,4.97
309,758,4.55
229,1051,4.98
407,869,4.99
152,2598,4.93
294,68658,4.76
150,185376,4.79
184,348634,4.16
262,32472,4.83
448,109640,4.8
102,18777,4.86
195,36697,4.92
207,39097,4.71
251,9380,4.89
224,13309,4.57
162,16483,4.8
43,18960,4.55
807,19608,4.81
180,217666,4.62
347,175460,4.7
410,621575,4.41
641,187047,3.68
199,117889,3.61
74,95914,3.09
230,178219,4.69
91,99087,4.02
166,35513,4.53
100,237037,4.65
136,1441,3.5
138,4854,4.27
648,112078,4.81
220,180419,2.47
209,21407,5
221,20515,4.06
149,105,5
310,89,0
180,101,0
117,92,0
134,62,5
34,80,0
80,70,5
10,35,0
74,52,0
184,70,0
152,9,0
622,0,0
58,0,0
183,0,0
461,2,0
30,26,1.5
530,0,0
231,5,0
17,255,1
559,0,0
149,0,0
73,12,0
160,22,0
130,6,5
52,13,0
60,2,0
558,2,0
161,0,0
368,9,5
51,0,0
61,0,0
172,0,0
30,11,0
243,0,0
62,1,0
20,0,0
68,5,0
155,1,0
137,0,0
298,0,0
266,9,0
42,8,0
624,7,0
260,7,0
250,1,0
217,0,0
197,0,0
183,12,0
21,6,0
138,15,0
222,0,0
418,9,0
229,0,0
1,10,0
97,0,0
581,7,0
209,0,0
31,0,0
93,0,0
11,9,0
46,0,0
11,0,0
51,37,0
42,3,0
20,1,0
68,10,0
406,0,0
60,0,0
25,6,0
204,0,0
21,6,0
30,0,0
16,0,0
32,2,5
154,23,0
142,0,0
71,0,0
8,4,0
599,0,0
206,6,1
176,0,0
206,0,0
40,10,0
10,0,0
16,1,0
113,0,0
90,9,0
387,0,0
197,0,0
224,5,0
92,0,0
151,0,0
9,0,0
15,0,0
211,5,0
242,0,0
413,0,0
100,2,0
607,0,0
48,1301395,3.22
219,59379,1.96
125,97656,4.18
503,78811,4.05
172,25405,4.9
254,32502,4.91
416,9547,1.37
111,19240,4.71
301,104463,4.64
